Id,num_steps,num_positions
seq_000118,5400,88
seq_000119,699,88
seq_000120,4884,88
seq_000121,2412,88
seq_000122,6322,88
seq_000123,8257,88
seq_000124,2316,88
seq_000125,9255,88
seq_000126,5217,88
seq_000127,2346,88
seq_000128,5635,88
seq_000129,4789,88
seq_000130,4422,88
seq_000131,3606,88
seq_000132,4310,88
seq_000133,8348,88
seq_000134,6078,88
seq_000135,2531,88
seq_000136,6658,88
seq_000137,3860,88
seq_000138,6530,88
seq_000139,1976,88
seq_000140,2929,88
seq_000141,6182,88
seq_000142,4823,88
seq_000143,5782,88
seq_000144,4689,88
seq_000145,4073,88
seq_000146,2821,88
seq_000147,8824,88
seq_000148,3005,88
seq_000149,4741,88
seq_000150,6413,88
seq_000151,3422,88
seq_000152,7454,88
seq_000153,6668,88
seq_000154,6478,88
seq_000155,2833,88
seq_000156,6993,88
seq_000157,8821,88
seq_000158,3273,88
seq_000159,1414,88
seq_000160,2943,88
seq_000161,5199,88
seq_000162,8257,88
seq_000163,5292,88
seq_000164,3639,88
seq_000165,5028,88
seq_000166,1009,88
seq_000167,5914,88
seq_000168,2208,88
seq_000169,4794,88
seq_000170,6578,88
seq_000171,3877,88
seq_000172,3876,88
seq_000173,2535,88
seq_000174,1888,88
seq_000175,11187,88
seq_000176,5452,88
seq_000177,1652,88
seq_000178,5096,88
seq_000179,3661,88
seq_000180,4644,88
seq_000181,6428,88
seq_000182,8391,88
seq_000183,1692,88
seq_000184,11050,88
seq_000185,4461,88
seq_000186,4090,88
seq_000187,3240,88
seq_000188,10223,88
seq_000189,7024,88
seq_000190,10642,88
seq_000191,10053,88
seq_000192,4469,88
seq_000193,4561,88
seq_000194,4628,88
seq_000195,2493,88
seq_000196,5101,88
seq_000197,4331,88
seq_000198,8990,88
seq_000199,3251,88
seq_000200,3338,88
seq_000201,1729,88
seq_000202,7018,88
seq_000203,6207,88
seq_000204,5129,88
seq_000205,2269,88
seq_000206,4443,88
seq_000207,1309,88
seq_000208,8521,88
seq_000209,3720,88
seq_000210,3718,88
seq_000211,11247,88
seq_000212,4661,88
seq_000213,4936,88
seq_000214,9725,88
seq_000215,5264,88
seq_000216,5282,88
seq_000217,6380,88
seq_000218,1207,88
seq_000219,2408,88
seq_000220,3571,88
seq_000221,5876,88
seq_000222,5030,88
seq_000223,5163,88
seq_000224,6214,88
seq_000225,2914,88
seq_000226,7159,88
seq_000227,4412,88
seq_000228,5115,88
seq_000229,10910,88
seq_000230,8059,88
seq_000231,4785,88
seq_000232,1434,88
seq_000233,11715,88
seq_000234,4568,88
seq_000235,3729,88
seq_000236,4494,88
seq_000237,2309,88
seq_000238,2671,88
seq_000239,3901,88
seq_000240,2081,88
seq_000241,1762,88
seq_000242,7588,88
seq_000243,5414,88
seq_000244,11753,88
seq_000245,4585,88
seq_000246,7505,88
seq_000247,4173,88
seq_000248,4894,88
seq_000249,4046,88
seq_000250,1806,88
seq_000251,2236,88
seq_000252,6306,88
seq_000253,745,88
seq_000254,3997,88
seq_000255,5078,88
seq_000256,3879,88
seq_000257,9310,88
seq_000258,4265,88
seq_000259,7891,88
seq_000260,7985,88
seq_000261,4653,88
seq_000262,8798,88
seq_000263,7933,88
seq_000264,4640,88
seq_000265,5848,88
seq_000266,5701,88
seq_000267,5641,88
seq_000268,3662,88
seq_000269,5044,88
seq_000270,4065,88
seq_000271,3237,88
seq_000272,3070,88
seq_000273,5814,88
seq_000274,9429,88
seq_000275,9286,88
seq_000276,1779,88
seq_000277,2114,88
seq_000278,1477,88
seq_000279,8675,88
seq_000280,9886,88
seq_000281,5147,88
seq_000282,4753,88
seq_000283,4433,88
seq_000284,2270,88
seq_000285,1137,88
seq_000286,7099,88
seq_000287,899,88
seq_000288,5476,88
seq_000289,2396,88
seq_000290,3240,88
seq_000291,2371,88
seq_000292,1437,88
seq_000293,1425,88
seq_000294,9315,88
seq_000295,2193,88
seq_000296,2942,88
seq_000297,2072,88
seq_000298,3189,88
seq_000299,5989,88
seq_000300,3489,88
seq_000301,4870,88
seq_000302,5769,88
seq_000303,5299,88
seq_000304,9382,88
seq_000305,4168,88
seq_000306,5054,88
seq_000307,11334,88
seq_000308,629,88
seq_000309,2503,88
seq_000310,6950,88
seq_000311,9107,88
seq_000312,7211,88
seq_000313,2766,88
seq_000314,5116,88
seq_000315,5260,88
seq_000316,3339,88
seq_000317,4845,88
seq_000318,2844,88
seq_000319,5152,88
seq_000320,1459,88
seq_000321,5718,88
seq_000322,9057,88
seq_000323,8412,88
seq_000324,11070,88
seq_000325,2000,88
seq_000326,9942,88
seq_000327,7226,88
seq_000328,3852,88
seq_000329,3777,88
seq_000330,5352,88
seq_000331,6911,88
seq_000332,3200,88
seq_000333,5647,88
seq_000334,5878,88
seq_000335,3028,88
seq_000336,2984,88
seq_000337,5992,88
seq_000338,3420,88
seq_000339,9448,88
seq_000340,7458,88
seq_000341,7539,88
seq_000342,3712,88
seq_000343,6419,88
seq_000344,3439,88
seq_000345,5205,88
seq_000346,5028,88
seq_000347,4075,88
seq_000348,2984,88
seq_000349,6669,88
seq_000350,3732,88
seq_000351,3408,88
seq_000352,3656,88
seq_000353,5086,88
seq_000354,6216,88
seq_000355,6247,88
seq_000356,4554,88
seq_000357,8292,88
seq_000358,11553,88
seq_000359,5706,88
seq_000360,7676,88
seq_000361,2224,88
seq_000362,7349,88
seq_000363,3116,88
seq_000364,946,88
seq_000365,3295,88
seq_000366,1976,88
seq_000367,3788,88
seq_000368,7045,88
seq_000369,4676,88
seq_000370,6509,88
seq_000371,1954,88
seq_000372,2808,88
seq_000373,8054,88
seq_000374,3207,88
seq_000375,9227,88
seq_000376,5193,88
seq_000377,4775,88
seq_000378,3400,88
seq_000379,3588,88
seq_000380,4429,88
seq_000381,1819,88
seq_000382,7013,88
seq_000383,5917,88
seq_000384,3966,88
seq_000385,8401,88
seq_000386,2158,88
seq_000387,6257,88
seq_000388,3212,88
seq_000389,2939,88
seq_000390,1164,88
seq_000391,3103,88
seq_000392,1876,88
seq_000393,6599,88
seq_000394,7720,88
seq_000395,978,88
seq_000396,5586,88
seq_000397,4144,88
seq_000398,1806,88
seq_000399,5323,88
seq_000400,2595,88
seq_000401,4153,88
seq_000402,6728,88
seq_000403,1151,88
seq_000404,5299,88
seq_000405,722,88
seq_000406,6031,88
seq_000407,3862,88
seq_000408,7322,88
seq_000409,7052,88
seq_000410,1820,88
seq_000411,858,88
seq_000412,9878,88
seq_000413,2864,88
seq_000414,11790,88
seq_000415,8155,88
seq_000416,2383,88
seq_000417,2780,88
seq_000418,10295,88
seq_000419,5383,88
seq_000420,1831,88
seq_000421,5288,88
seq_000422,3244,88
seq_000423,3916,88
seq_000424,3188,88
seq_000425,4662,88
seq_000426,4918,88
seq_000427,2760,88
seq_000428,5187,88
seq_000429,3663,88
seq_000430,2388,88
seq_000431,5470,88
seq_000432,3782,88
seq_000433,5209,88
seq_000434,9687,88
seq_000435,4691,88
seq_000436,5245,88
seq_000437,3929,88
seq_000438,6289,88
seq_000439,3432,88
seq_000440,4853,88
seq_000441,4993,88
seq_000442,5630,88
seq_000443,3692,88
seq_000444,2961,88
seq_000445,4489,88
seq_000446,4216,88
seq_000447,5027,88
seq_000448,3337,88
seq_000449,4749,88
seq_000450,6529,88
seq_000451,676,88
seq_000452,4935,88
seq_000453,6254,88
seq_000454,5277,88
seq_000455,4967,88
seq_000456,3544,88
seq_000457,2016,88
seq_000458,3814,88
seq_000459,3575,88
seq_000460,4504,88
seq_000461,614,88
seq_000462,10599,88
seq_000463,7823,88
seq_000464,2081,88
seq_000465,4265,88
seq_000466,2690,88
seq_000467,3923,88
seq_000468,5814,88
seq_000469,4312,88
seq_000470,7789,88
seq_000471,4367,88
seq_000472,6697,88
seq_000473,2140,88
seq_000474,3147,88
seq_000475,7938,88
seq_000476,1805,88
seq_000477,3853,88
seq_000478,3586,88
seq_000479,2101,88
seq_000480,5289,88
seq_000481,2944,88
seq_000482,6869,88
seq_000483,2826,88
seq_000484,7042,88
seq_000485,10633,88
seq_000486,4413,88
seq_000487,3130,88
seq_000488,10265,88
seq_000489,6519,88
seq_000490,4750,88
seq_000491,5925,88
seq_000492,1642,88
seq_000493,6690,88
seq_000494,2834,88
seq_000495,4107,88
seq_000496,3701,88
seq_000497,2859,88
seq_000498,7213,88
seq_000499,11762,88
seq_000500,11608,88
seq_000501,5863,88
seq_000502,11470,88
seq_000503,5374,88
seq_000504,3488,88
seq_000505,1705,88
seq_000506,3770,88
seq_000507,3439,88
seq_000508,5800,88
seq_000509,2510,88
seq_000510,4488,88
seq_000511,1718,88
seq_000512,11228,88
seq_000513,5688,88
seq_000514,4838,88
seq_000515,1660,88
seq_000516,2446,88
seq_000517,2281,88
seq_000518,4045,88
seq_000519,10052,88
seq_000520,4394,88
seq_000521,4024,88
seq_000522,5043,88
seq_000523,10678,88
seq_000524,4948,88
seq_000525,4453,88
seq_000526,4107,88
seq_000527,5173,88
seq_000528,4979,88
seq_000529,1819,88
seq_000530,10243,88
seq_000531,1091,88
seq_000532,4259,88
seq_000533,1562,88
seq_000534,3076,88
seq_000535,4036,88
seq_000536,11055,88
seq_000537,11102,88
seq_000538,5668,88
seq_000539,3410,88
seq_000540,5937,88
seq_000541,3145,88
seq_000542,8967,88
seq_000543,2597,88
seq_000544,7989,88
seq_000545,2303,88
seq_000546,5890,88
seq_000547,5298,88
seq_000548,2713,88
seq_000549,3117,88
seq_000550,2375,88
seq_000551,3069,88
seq_000552,10295,88
seq_000553,7380,88
seq_000554,1421,88
seq_000555,5173,88
seq_000556,2737,88
seq_000557,3576,88
seq_000558,4688,88
seq_000559,857,88
seq_000560,4752,88
seq_000561,2446,88
seq_000562,3428,88
seq_000563,1936,88
seq_000564,3343,88
seq_000565,6246,88
seq_000566,4606,88
seq_000567,2445,88
seq_000568,6508,88
seq_000569,3316,88
seq_000570,3819,88
seq_000571,4083,88
seq_000572,11123,88
seq_000573,4312,88
seq_000574,4973,88
seq_000575,5980,88
seq_000576,3221,88
seq_000577,6405,88
seq_000578,5358,88
seq_000579,4913,88
seq_000580,9496,88
seq_000581,3669,88
seq_000582,4816,88
seq_000583,3165,88
seq_000584,4878,88
seq_000585,6968,88
seq_000586,8039,88
seq_000587,1454,88
seq_000588,4964,88
seq_000589,4593,88
seq_000590,3265,88
seq_000591,1902,88
seq_000592,3348,88
seq_000593,4776,88
seq_000594,1771,88
seq_000595,5272,88
seq_000596,2777,88
seq_000597,3951,88
seq_000598,3516,88
seq_000599,5635,88
seq_000600,4461,88
seq_000601,1445,88
seq_000602,3489,88
seq_000603,3812,88
seq_000604,2078,88
seq_000605,4415,88
seq_000606,3830,88
seq_000607,4628,88
seq_000608,6412,88
seq_000609,5322,88
seq_000610,6546,88
seq_000611,2320,88
seq_000612,9833,88
seq_000613,2425,88
seq_000614,1856,88
seq_000615,1714,88
seq_000616,5608,88
seq_000617,7125,88
seq_000618,4555,88
seq_000619,3969,88
seq_000620,3616,88
seq_000621,5001,88
seq_000622,3615,88
seq_000623,7211,88
seq_000624,4801,88
seq_000625,2214,88
seq_000626,3667,88
seq_000627,10251,88
seq_000628,3817,88
seq_000629,3695,88
seq_000630,9074,88
seq_000631,2321,88
seq_000632,6403,88
seq_000633,594,88
seq_000634,2646,88
seq_000635,1812,88
seq_000636,1941,88
seq_000637,2707,88
seq_000638,3351,88
seq_000639,4491,88
seq_000640,4472,88
seq_000641,2518,88
seq_000642,4602,88
seq_000643,1231,88
seq_000644,2506,88
seq_000645,4655,88
seq_000646,3180,88
seq_000647,5818,88
seq_000648,5941,88
seq_000649,3813,88
seq_000650,2921,88
seq_000651,4848,88
seq_000652,4114,88
seq_000653,2848,88
seq_000654,2018,88
seq_000655,4047,88
seq_000656,3968,88
seq_000657,10144,88
seq_000658,3778,88
seq_000659,4729,88
seq_000660,4787,88
seq_000661,4719,88
seq_000662,9592,88
seq_000663,3597,88
seq_000664,5317,88
seq_000665,3054,88
seq_000666,1370,88
seq_000667,6003,88
seq_000668,5492,88
seq_000669,4084,88
seq_000670,3244,88
seq_000671,5399,88
seq_000672,5512,88
seq_000673,7795,88
seq_000674,3191,88
seq_000675,2371,88
seq_000676,4780,88
seq_000677,2106,88
seq_000678,4493,88
seq_000679,4530,88
seq_000680,1922,88
seq_000681,7082,88
seq_000682,5271,88
seq_000683,5982,88
seq_000684,2015,88
seq_000685,6004,88
seq_000686,5836,88
seq_000687,4795,88
seq_000688,4038,88
seq_000689,2709,88
seq_000690,4417,88
seq_000691,6629,88
seq_000692,7267,88
seq_000693,6907,88
seq_000694,6519,88
seq_000695,2352,88
seq_000696,4936,88
seq_000697,2956,88
seq_000698,4379,88
seq_000699,2121,88
seq_000700,1414,88
seq_000701,1528,88
seq_000702,8809,88
seq_000703,1924,88
seq_000704,5327,88
seq_000705,4176,88
seq_000706,3903,88
seq_000707,2801,88
seq_000708,5434,88
seq_000709,1271,88
seq_000710,5082,88
seq_000711,5531,88
seq_000712,3058,88
seq_000713,9797,88
seq_000714,5625,88
seq_000715,7071,88
seq_000716,4874,88
seq_000717,8310,88
seq_000718,8468,88
seq_000719,6777,88
seq_000720,1503,88
seq_000721,767,88
seq_000722,5225,88
seq_000723,11586,88
seq_000724,3721,88
seq_000725,3159,88
seq_000726,4410,88
seq_000727,9720,88
seq_000728,4357,88
seq_000729,4289,88
seq_000730,6826,88
seq_000731,9589,88
seq_000732,4829,88
seq_000733,3949,88
seq_000734,2110,88
seq_000735,6389,88
seq_000736,10794,88
seq_000737,3026,88
seq_000738,1352,88
seq_000739,981,88
seq_000740,4666,88
seq_000741,11151,88
seq_000742,7932,88
seq_000743,6419,88
seq_000744,3224,88
seq_000745,2916,88
seq_000746,1400,88
seq_000747,3593,88
seq_000748,3766,88
seq_000749,11492,88
seq_000750,1205,88
seq_000751,7829,88
seq_000752,5473,88
seq_000753,7392,88
seq_000754,4801,88
seq_000755,1967,88
seq_000756,3831,88
seq_000757,938,88
seq_000758,4818,88
seq_000759,5271,88
seq_000760,8132,88
seq_000761,6285,88
seq_000762,4381,88
seq_000763,3655,88
seq_000764,1972,88
seq_000765,4245,88
seq_000766,7386,88
seq_000767,2668,88
seq_000768,2349,88
seq_000769,3339,88
seq_000770,6389,88
seq_000771,5519,88
seq_000772,1111,88
seq_000773,7696,88
seq_000774,6224,88
seq_000775,6892,88
seq_000776,3610,88
seq_000777,2872,88
seq_000778,4700,88
seq_000779,6629,88
seq_000780,2422,88
seq_000781,7423,88
seq_000782,1484,88
seq_000783,3767,88
seq_000784,1351,88
seq_000785,1857,88
seq_000786,5188,88
seq_000787,1425,88
seq_000788,5480,88
seq_000789,2866,88
seq_000790,1059,88
seq_000791,8455,88
seq_000792,11260,88
seq_000793,954,88
seq_000794,3866,88
seq_000795,6536,88
seq_000796,6729,88
seq_000797,5709,88
seq_000798,4749,88
seq_000799,3722,88
seq_000800,4069,88
seq_000801,11054,88
seq_000802,5133,88
seq_000803,4645,88
seq_000804,5662,88
seq_000805,3728,88
seq_000806,5187,88
seq_000807,4949,88
seq_000808,4260,88
seq_000809,3501,88
seq_000810,4471,88
seq_000811,4420,88
seq_000812,10125,88
seq_000813,9884,88
seq_000814,1148,88
seq_000815,3528,88
seq_000816,927,88
seq_000817,3308,88
seq_000818,2069,88
seq_000819,1516,88
seq_000820,9726,88
seq_000821,5229,88
seq_000822,4983,88
seq_000823,5032,88
seq_000824,5910,88
seq_000825,8201,88
seq_000826,405,88
seq_000827,9599,88
seq_000828,990,88
seq_000829,1869,88
seq_000830,3125,88
seq_000831,1291,88
seq_000832,4158,88
seq_000833,1596,88
seq_000834,4558,88
seq_000835,3080,88
seq_000836,5839,88
seq_000837,2386,88
seq_000838,4081,88
seq_000839,4437,88
seq_000840,1955,88
seq_000841,7116,88
seq_000842,3160,88
seq_000843,4948,88
seq_000844,9013,88
seq_000845,1005,88
seq_000846,11367,88
seq_000847,6756,88
seq_000848,3348,88
seq_000849,6821,88
seq_000850,6291,88
seq_000851,3998,88
seq_000852,5461,88
seq_000853,6643,88
seq_000854,7525,88
seq_000855,6922,88
seq_000856,4345,88
seq_000857,1427,88
seq_000858,7171,88
seq_000859,2449,88
seq_000860,882,88
seq_000861,11362,88
seq_000862,1749,88
seq_000863,4789,88
seq_000864,4758,88
seq_000865,5793,88
seq_000866,880,88
seq_000867,3546,88
seq_000868,8126,88
seq_000869,2162,88
seq_000870,2888,88
seq_000871,3963,88
seq_000872,1927,88
seq_000873,9803,88
seq_000874,8598,88
seq_000875,7480,88
seq_000876,2374,88
seq_000877,3351,88
seq_000878,11413,88
seq_000879,2262,88
seq_000880,1496,88
seq_000881,2998,88
seq_000882,6223,88
seq_000883,4663,88
seq_000884,7591,88
seq_000885,4258,88
seq_000886,1887,88
seq_000887,5844,88
seq_000888,5204,88
seq_000889,2964,88
seq_000890,3705,88
seq_000891,4788,88
seq_000892,6962,88
seq_000893,2769,88
seq_000894,3828,88
seq_000895,2758,88
seq_000896,1355,88
seq_000897,3929,88
seq_000898,3437,88
seq_000899,5828,88
seq_000900,6993,88
seq_000901,10350,88
seq_000902,3189,88
seq_000903,3941,88
seq_000904,2838,88
seq_000905,8576,88
seq_000906,4220,88
seq_000907,6025,88
seq_000908,2145,88
seq_000909,6340,88
seq_000910,1678,88
seq_000911,5686,88
seq_000912,2859,88
seq_000913,7563,88
seq_000914,4474,88
seq_000915,2951,88
seq_000916,5227,88
seq_000917,5811,88
seq_000918,4086,88
seq_000919,10247,88
seq_000920,3730,88
seq_000921,7097,88
seq_000922,6774,88
seq_000923,3271,88
seq_000924,10703,88
seq_000925,1279,88
seq_000926,1649,88
seq_000927,4638,88
seq_000928,7181,88
seq_000929,10150,88
seq_000930,2765,88
seq_000931,3064,88
seq_000932,2017,88
seq_000933,1701,88
seq_000934,3343,88
seq_000935,3221,88
seq_000936,4413,88
seq_000937,4287,88
seq_000938,2551,88
seq_000939,3491,88
seq_000940,6449,88
seq_000941,5428,88
seq_000942,4520,88
seq_000943,9192,88
seq_000944,11625,88
seq_000945,1420,88
seq_000946,2274,88
seq_000947,6343,88
seq_000948,5197,88
seq_000949,2525,88
seq_000950,1689,88
seq_000951,6219,88
seq_000952,2493,88
seq_000953,2390,88
seq_000954,6723,88
seq_000955,5075,88
seq_000956,1640,88
seq_000957,3239,88
seq_000958,2664,88
seq_000959,9747,88
seq_000960,5370,88
seq_000961,3598,88
seq_000962,3911,88
seq_000963,4404,88
seq_000964,3191,88
seq_000965,1329,88
seq_000966,7048,88
seq_000967,3746,88
seq_000968,4142,88
seq_000969,4779,88
seq_000970,6176,88
seq_000971,2445,88
seq_000972,7333,88
seq_000973,3935,88
seq_000974,3642,88
seq_000975,2003,88
seq_000976,3051,88
seq_000977,3209,88
seq_000978,8462,88
seq_000979,2038,88
seq_000980,5525,88
seq_000981,1799,88
seq_000982,1186,88
seq_000983,4231,88
seq_000984,7256,88
seq_000985,6772,88
seq_000986,4643,88
seq_000987,8800,88
seq_000988,6251,88
seq_000989,4131,88
seq_000990,3443,88
seq_000991,8892,88
seq_000992,4435,88
seq_000993,9681,88
seq_000994,2839,88
seq_000995,10730,88
seq_000996,5146,88
seq_000997,2445,88
seq_000998,9211,88
seq_000999,5414,88
seq_001000,3932,88
seq_001001,3145,88
seq_001002,4349,88
seq_001003,3097,88
seq_001004,5941,88
seq_001005,7124,88
seq_001006,4986,88
seq_001007,1863,88
seq_001008,9528,88
seq_001009,4875,88
seq_001010,10410,88
seq_001011,2422,88
seq_001012,8994,88
seq_001013,3008,88
seq_001014,11260,88
seq_001015,1085,88
seq_001016,3734,88
seq_001017,6208,88
seq_001018,3905,88
seq_001019,2090,88
seq_001020,1418,88
seq_001021,4676,88
seq_001022,4033,88
seq_001023,5141,88
seq_001024,10460,88
seq_001025,2703,88
seq_001026,10469,88
seq_001027,4885,88
seq_001028,6215,88
seq_001029,6135,88
seq_001030,11277,88
seq_001031,3980,88
seq_001032,11040,88
seq_001033,6484,88
seq_001034,11200,88
seq_001035,4802,88
seq_001036,4258,88
seq_001037,8457,88
seq_001038,4474,88
seq_001039,4900,88
seq_001040,5019,88
seq_001041,4953,88
seq_001042,1615,88
seq_001043,1546,88
seq_001044,2535,88
seq_001045,2419,88
seq_001046,4893,88
seq_001047,5282,88
seq_001048,5117,88
seq_001049,1552,88
seq_001050,2271,88
seq_001051,1987,88
seq_001052,4290,88
seq_001053,1139,88
seq_001054,740,88
seq_001055,2678,88
seq_001056,1572,88
seq_001057,10570,88
seq_001058,4736,88
seq_001059,5421,88
seq_001060,4587,88
seq_001061,6888,88
seq_001062,5480,88
seq_001063,5361,88
seq_001064,1777,88
seq_001065,6934,88
seq_001066,6301,88
seq_001067,1232,88
seq_001068,3873,88
seq_001069,9930,88
seq_001070,8201,88
seq_001071,4052,88
seq_001072,4225,88
seq_001073,4775,88
seq_001074,7540,88
seq_001075,4395,88
seq_001076,4957,88
seq_001077,1252,88
seq_001078,5177,88
seq_001079,8622,88
seq_001080,7230,88
seq_001081,6329,88
seq_001082,4394,88
seq_001083,8310,88
seq_001084,646,88
seq_001085,2641,88
seq_001086,5232,88
seq_001087,6624,88
seq_001088,10339,88
seq_001089,2877,88
seq_001090,3317,88
seq_001091,2928,88
seq_001092,6759,88
seq_001093,2242,88
seq_001094,4243,88
seq_001095,5392,88
seq_001096,6372,88
seq_001097,4095,88
seq_001098,8310,88
seq_001099,3624,88
seq_001100,7819,88
seq_001101,4098,88
seq_001102,4046,88
seq_001103,5296,88
seq_001104,4564,88
seq_001105,4730,88
seq_001106,4961,88
seq_001107,1500,88
seq_001108,4332,88
seq_001109,5623,88
seq_001110,6741,88
seq_001111,4482,88
seq_001112,2975,88
seq_001113,2551,88
seq_001114,2880,88
seq_001115,8294,88
seq_001116,9003,88
seq_001117,2537,88
seq_001118,3408,88
seq_001119,3639,88
seq_001120,2277,88
seq_001121,2168,88
seq_001122,4568,88
seq_001123,863,88
seq_001124,3442,88
seq_001125,4606,88
seq_001126,2968,88
seq_001127,9770,88
seq_001128,6684,88
seq_001129,5103,88
seq_001130,10484,88
seq_001131,6623,88
seq_001132,983,88
seq_001133,4704,88
seq_001134,8386,88
seq_001135,4816,88
seq_001136,6184,88
seq_001137,11566,88
seq_001138,2341,88
seq_001139,9654,88
seq_001140,7265,88
seq_001141,3889,88
seq_001142,10689,88
seq_001143,4658,88
seq_001144,1936,88
seq_001145,10182,88
seq_001146,4650,88
seq_001147,2643,88
seq_001148,11811,88
seq_001149,9122,88
seq_001150,1871,88
seq_001151,2474,88
seq_001152,11277,88
seq_001153,2799,88
seq_001154,3590,88
seq_001155,3941,88
seq_001156,10172,88
seq_001157,5594,88
seq_001158,3029,88
seq_001159,4894,88
seq_001160,3623,88
seq_001161,2097,88
seq_001162,1617,88
seq_001163,1688,88
seq_001164,2213,88
seq_001165,9451,88
seq_001166,8080,88
seq_001167,5338,88
seq_001168,11493,88
seq_001169,10654,88
seq_001170,932,88
seq_001171,8276,88
seq_001172,10802,88
seq_001173,2301,88
seq_001174,5044,88
seq_001175,4732,88
seq_001176,1932,88
seq_001177,7575,88
seq_001178,9796,88
seq_001179,6658,88
seq_001180,1363,88
seq_001181,9232,88
seq_001182,4150,88
seq_001183,2659,88
seq_001184,9512,88
seq_001185,3582,88
seq_001186,3160,88
seq_001187,4021,88
seq_001188,2724,88
seq_001189,4292,88
seq_001190,5096,88
seq_001191,6101,88
seq_001192,3222,88
seq_001193,7025,88
seq_001194,8762,88
seq_001195,3051,88
seq_001196,9832,88
seq_001197,2664,88
seq_001198,3745,88
seq_001199,3121,88
seq_001200,1868,88
seq_001201,11606,88
seq_001202,8554,88
seq_001203,4268,88
seq_001204,848,88
seq_001205,4875,88
seq_001206,2721,88
seq_001207,5688,88
seq_001208,4620,88
seq_001209,4975,88
seq_001210,6235,88
seq_001211,3254,88
seq_001212,5436,88
seq_001213,5353,88
seq_001214,4941,88
seq_001215,931,88
seq_001216,5445,88
seq_001217,5500,88
seq_001218,1276,88
seq_001219,1047,88
seq_001220,4594,88
seq_001221,3508,88
seq_001222,4552,88
seq_001223,3098,88
seq_001224,6746,88
seq_001225,5748,88
seq_001226,8267,88
seq_001227,3806,88
seq_001228,5068,88
seq_001229,3038,88
seq_001230,3355,88
seq_001231,3477,88
seq_001232,2478,88
seq_001233,7271,88
seq_001234,2412,88
seq_001235,5835,88
seq_001236,3054,88
seq_001237,2439,88
seq_001238,4511,88
seq_001239,4996,88
seq_001240,2910,88
seq_001241,7705,88
seq_001242,4185,88
seq_001243,2928,88
seq_001244,3312,88
seq_001245,7470,88
seq_001246,3247,88
seq_001247,8028,88
seq_001248,4133,88
seq_001249,5968,88
seq_001250,2741,88
seq_001251,3535,88
seq_001252,3636,88
seq_001253,10500,88
seq_001254,3437,88
seq_001255,6321,88
seq_001256,7934,88
seq_001257,4396,88
seq_001258,2997,88
seq_001259,5541,88
seq_001260,2480,88
seq_001261,1160,88
seq_001262,4278,88
seq_001263,3421,88
seq_001264,5315,88
seq_001265,5852,88
seq_001266,2087,88
seq_001267,5180,88
seq_001268,4660,88
seq_001269,6344,88
seq_001270,4759,88
seq_001271,3004,88
seq_001272,9326,88
